res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs10,gs14,Middle North,Middle West,295
gs10,gs15,Middle North,Middle Upper West,817
gs10,gs16,Middle North,Middle Lower West,510
gs10,gs17,Middle North,Outer North,2346
gs10,gs18,Middle North,Outer Northwest,2062
gs10,gs19,Middle North,Outer Southwest,44
gs10,gs20,Middle North,Outer West,30
gs10,gs21,Middle North,Outer Upper West,60
gs10,gs22,Middle North,Outer Lower West,4
gs10,gs25,Middle North,External Wisconsin,139
gs11,gs01,Middle Northwest,Central,12219
gs11,gs02,Middle Northwest,Inner North,5554
gs11,gs03,Middle Northwest,Inner Northwest,13239
gs11,gs04,Middle Northwest,Inner South,1607
gs11,gs05,Middle Northwest,Inner Southwest,1443
gs11,gs06,Middle Northwest,Inner West,2220
gs11,gs07,Middle Northwest,Inner Upper West,2001
gs11,gs08,Middle Northwest,Inner Lower West,1133
gs11,gs09,Middle Northwest,Northwest Indiana,39
gs11,gs10,Middle Northwest,Middle North,8486
gs11,gs11,Middle Northwest,Middle Northwest,57158
gs11,gs12,Middle Northwest,Middle/Outer South,536
gs11,gs13,Middle Northwest,Middle Southwest,959
gs11,gs14,Middle Northwest,Middle West,3690
gs11,gs15,Middle Northwest,Middle Upper West,15680
gs11,gs16,Middle Northwest,Middle Lower West,3378
gs11,gs17,Middle Northwest,Outer North,4809
gs11,gs18,Middle Northwest,Outer Northwest,16344
gs11,gs19,Middle Northwest,Outer Southwest,135
gs11,gs20,Middle Northwest,Outer West,275
gs11,gs21,Middle Northwest,Outer Upper West,1321
gs11,gs22,Middle Northwest,Outer Lower West,271
gs11,gs23,Middle Northwest,External Illinois,240
gs11,gs25,Middle Northwest,External Wisconsin,164
gs12,gs01,Middle/Outer South,Central,12429
gs12,gs02,Middle/Outer South,Inner North,1550
gs12,gs03,Middle/Outer South,Inner Northwest,1791
gs12,gs04,Middle/Outer South,Inner South,11602
gs12,gs05,Middle/Outer South,Inner Southwest,3052
gs12,gs06,Middle/Outer South,Inner West,1371
gs12,gs07,Middle/Outer South,Inner Upper West,426
gs12,gs08,Middle/Outer South,Inner Lower West,1405
gs12,gs09,Middle/Outer South,Northwest Indiana,4127
gs12,gs10,Middle/Outer South,Middle North,380
gs12,gs11,Middle/Outer South,Middle Northwest,1083
gs12,gs12,Middle/Outer South,Middle/Outer South,29920
gs12,gs13,Middle/Outer South,Middle Southwest,6099
gs12,gs14,Middle/Outer South,Middle West,896
gs12,gs15,Middle/Outer South,Middle Upper West,895
gs12,gs16,Middle/Outer South,Middle Lower West,1661
gs12,gs17,Middle/Outer South,Outer North,60
gs12,gs18,Middle/Outer South,Outer Northwest,252
gs12,gs19,Middle/Outer South,Outer Southwest,5213
gs12,gs20,Middle/Outer South,Outer West,60
gs12,gs21,Middle/Outer South,Outer Upper West,44
gs12,gs22,Middle/Outer South,Outer Lower West,53
gs12,gs23,Middle/Outer South,External Illinois,828
gs12,gs24,Middle/Outer South,External Indiana,746
gs13,gs01,Middle Southwest,Central,18823
gs13,gs02,Middle Southwest,Inner North,3077
gs13,gs03,Middle Southwest,Inner Northwest,3464
gs13,gs04,Middle Southwest,Inner South,9204
gs13,gs05,Middle Southwest,Inner Southwest,15413
gs13,gs06,Middle Southwest,Inner West,3697
gs13,gs07,Middle Southwest,Inner Upper West,921
gs13,gs08,Middle Southwest,Inner Lower West,7030
gs13,gs09,Middle Southwest,Northwest Indiana,1304
gs13,gs10,Middle Southwest,Middle North,1186
gs13,gs11,Middle Southwest,Middle Northwest,1992
gs13,gs12,Middle Southwest,Middle/Outer South,5457
gs13,gs13,Middle Southwest,Middle Southwest,45218
gs13,gs14,Middle Southwest,Middle West,3639
gs13,gs15,Middle Southwest,Middle Upper West,2632
gs13,gs16,Middle Southwest,Middle Lower West,10876
gs13,gs17,Middle Southwest,Outer North,254
gs13,gs18,Middle Southwest,Outer Northwest,505
gs13,gs19,Middle Southwest,Outer Southwest,9595
gs13,gs20,Middle Southwest,Outer West,105
gs13,gs21,Middle Southwest,Outer Upper West,115
gs13,gs22,Middle Southwest,Outer Lower West,310
gs13,gs23,Middle Southwest,External Illinois,739
gs13,gs24,Middle Southwest,External Indiana,298
gs13,gs25,Middle Southwest,External Wisconsin,40
gs14,gs01,Middle West,Central,12660
gs14,gs02,Middle West,Inner North,1566
gs14,gs03,Middle West,Inner Northwest,4221
gs14,gs04,Middle West,Inner South,843
gs14,gs05,Middle West,Inner Southwest,1057
gs14,gs06,Middle West,Inner West,5000
gs14,gs07,Middle West,Inner Upper West,1326
gs14,gs08,Middle West,Inner Lower West,2244
gs14,gs09,Middle West,Northwest Indiana,177
gs14,gs10,Middle West,Middle North,889
gs14,gs11,Middle West,Middle Northwest,5217
gs14,gs12,Middle West,Middle/Outer South,267
gs14,gs13,Middle West,Middle Southwest,1899
gs14,gs14,Middle West,Middle West,61344
gs14,gs15,Middle West,Middle Upper West,17171
gs14,gs16,Middle West,Middle Lower West,24032
gs14,gs17,Middle West,Outer North,483
gs14,gs18,Middle West,Outer Northwest,2068
gs14,gs19,Middle West,Outer Southwest,753
gs14,gs20,Middle West,Outer West,3518
gs14,gs21,Middle West,Outer Upper West,1944
gs14,gs22,Middle West,Outer Lower West,1409
gs14,gs23,Middle West,External Illinois,263
gs14,gs24,Middle West,External Indiana,39
gs14,gs25,Middle West,External Wisconsin,10
gs15,gs01,Middle Upper West,Central,10768
gs15,gs02,Middle Upper West,Inner North,3230
gs15,gs03,Middle Upper West,Inner Northwest,10803
gs15,gs04,Middle Upper West,Inner South,1201
gs15,gs05,Middle Upper West,Inner Southwest,1400
gs15,gs06,Middle Upper West,Inner West,4117
gs15,gs07,Middle Upper West,Inner Upper West,2275
gs15,gs08,Middle Upper West,Inner Lower West,2098
gs15,gs09,Middle Upper West,Northwest Indiana,105
gs15,gs10,Middle Upper West,Middle North,2068
gs15,gs11,Middle Upper West,Middle Northwest,23971
gs15,gs12,Middle Upper West,Middle/Outer South,387
gs15,gs13,Middle Upper West,Middle Southwest,1337
gs15,gs14,Middle Upper West,Middle West,17437
gs15,gs15,Middle Upper West,Middle Upper West,57668
gs15,gs16,Middle Upper West,Middle Lower West,10050
gs15,gs17,Middle Upper West,Outer North,1262
gs15,gs18,Middle Upper West,Outer Northwest,5329
gs15,gs19,Middle Upper West,Outer Southwest,556
gs15,gs20,Middle Upper West,Outer West,2358
gs15,gs21,Middle Upper West,Outer Upper West,6380
gs15,gs22,Middle Upper West,Outer Lower West,1276
gs15,gs23,Middle Upper West,External Illinois,397
gs15,gs24,Middle Upper West,External Indiana,45
gs15,gs25,Middle Upper West,External Wisconsin,95
gs16,gs01,Middle Lower West,Central,27631
gs16,gs02,Middle Lower West,Inner North,2173
gs16,gs03,Middle Lower West,Inner Northwest,5032
gs16,gs04,Middle Lower West,Inner South,2596
gs16,gs05,Middle Lower West,Inner Southwest,3251
gs16,gs06,Middle Lower West,Inner West,5861
gs16,gs07,Middle Lower West,Inner Upper West,897
gs16,gs08,Middle Lower West,Inner Lower West,6159
gs16,gs09,Middle Lower West,Northwest Indiana,399
gs16,gs10,Middle Lower West,Middle North,1212
gs16,gs11,Middle Lower West,Middle Northwest,4794
gs16,gs12,Middle Lower West,Middle/Outer South,701
gs16,gs13,Middle Lower West,Middle Southwest,8414
gs16,gs14,Middle Lower West,Middle West,23820
gs16,gs15,Middle Lower West,Middle Upper West,8761
gs16,gs16,Middle Lower West,Middle Lower West,119693
gs16,gs17,Middle Lower West,Outer North,500
gs16,gs18,Middle Lower West,Outer Northwest,1503
gs16,gs19,Middle Lower West,Outer Southwest,8321
gs16,gs20,Middle Lower West,Outer West,2920
gs16,gs21,Middle Lower West,Outer Upper West,927
gs16,gs22,Middle Lower West,Outer Lower West,6100
gs16,gs23,Middle Lower West,External Illinois,1095
gs16,gs24,Middle Lower West,External Indiana,30
gs16,gs25,Middle Lower West,External Wisconsin,35
gs17,gs01,Outer North,Central,5942
gs17,gs02,Outer North,Inner North,1992
gs17,gs03,Outer North,Inner Northwest,1739
gs17,gs04,Outer North,Inner South,274
gs17,gs05,Outer North,Inner Southwest,160
gs17,gs06,Outer North,Inner West,324
gs17,gs07,Outer North,Inner Upper West,238
gs17,gs08,Outer North,Inner Lower West,206
gs17,gs09,Outer North,Northwest Indiana,130
gs17,gs10,Outer North,Middle North,4706
gs17,gs11,Outer North,Middle Northwest,2041
gs17,gs12,Outer North,Middle/Outer South,59
gs17,gs13,Outer North,Middle Southwest,143
gs17,gs14,Outer North,Middle West,284
gs17,gs15,Outer North,Middle Upper West,824
gs17,gs16,Outer North,Middle Lower West,423
gs17,gs17,Outer North,Outer North,38498
gs17,gs18,Outer North,Outer Northwest,23738
gs17,gs19,Outer North,Outer Southwest,38
gs17,gs20,Outer North,Outer West,30
gs17,gs21,Outer North,Outer Upper West,219
gs17,gs22,Outer North,Outer Lower West,18
gs17,gs23,Outer North,External Illinois,19
gs17,gs25,Outer North,External Wisconsin,2182
gs18,gs01,Outer Northwest,Central,13658
gs18,gs02,Outer Northwest,Inner North,4854
gs18,gs03,Outer Northwest,Inner Northwest,8324
gs18,gs04,Outer Northwest,Inner South,848
gs18,gs05,Outer Northwest,Inner Southwest,915
gs18,gs06,Outer Northwest,Inner West,1882
gs18,gs07,Outer Northwest,Inner Upper West,1272
gs18,gs08,Outer Northwest,Inner Lower West,895
gs18,gs09,Outer Northwest,Northwest Indiana,111
gs18,gs10,Outer Northwest,Middle North,8986
gs18,gs11,Outer Northwest,Middle Northwest,25645
gs18,gs12,Outer Northwest,Middle/Outer South,289
gs18,gs13,Outer Northwest,Middle Southwest,745
gs18,gs14,Outer Northwest,Middle West,3762
gs18,gs15,Outer Northwest,Middle Upper West,11028
gs18,gs16,Outer Northwest,Middle Lower West,3804
gs18,gs17,Outer Northwest,Outer North,27822
gs18,gs18,Outer Northwest,Outer Northwest,194515
gs18,gs19,Outer Northwest,Outer Southwest,280
gs18,gs20,Outer Northwest,Outer West,1437
gs18,gs21,Outer Northwest,Outer Upper West,8556
gs18,gs22,Outer Northwest,Outer Lower West,699
gs18,gs23,Outer Northwest,External Illinois,2292
gs18,gs25,Outer Northwest,External Wisconsin,4009
gs19,gs01,Outer Southwest,Central,11281
gs19,gs02,Outer Southwest,Inner North,1071
gs19,gs03,Outer Southwest,Inner Northwest,1757
