id,vadt,AADT,FacilityType
10543-10592,3855.428813,2200,Arterial/Collector
10545-10856,4110.443715,2850,Arterial/Collector
10546-10538,17039.14438,12400,Arterial/Collector
10547-10550,11661.69395,4750,Interstate
10547-21572,50954.97224,64100,Interstate
10548-10553,20754.30413,8900,Arterial/Collector
10548-10554,20866.95318,8900,Arterial/Collector
10552-10038,61895.96629,64100,Interstate
10553-10548,22562.89381,8900,Arterial/Collector
10553-10599,19741.26723,10900,Arterial/Collector
10554-10548,19081.32475,8900,Arterial/Collector
10554-10805,25155.16687,19800,Arterial/Collector
10563-21573,11661.69395,4750,Interstate
10572-10589,1295.050238,2050,Interstate
10572-21573,12222.08302,16650,Arterial/Collector
10575-10472,1239.235292,500,Arterial/Collector
10577-10579,22058.15041,12850,Arterial/Collector
10577-21568,8703.426196,3900,Interstate
10577-21569,15809.06142,12850,Arterial/Collector
10579-10577,24512.4876,12850,Arterial/Collector
10579-10586,15102.26635,12850,Arterial/Collector
10580-10391,8233.658796,11950,Arterial/Collector
10580-10539,8002.695501,4900,Arterial/Collector
10580-10613,18231.2852,11950,Arterial/Collector
10585-10650,1146.600257,2050,Arterial/Collector
10586-10579,17036.95968,12850,Arterial/Collector
10586-10601,26653.37963,17550,Arterial/Collector
10589-21589,56642.70479,63650,Interstate
10590-10552,51023.43302,64100,Interstate
10590-21569,6589.105615,10500,Interstate
10591-10542,3404.517083,1650,Arterial/Collector
10591-10592,19714.67005,11000,Arterial/Collector
10591-10595,15842.68619,11000,Arterial/Collector
10591-10710,519.3407131,1650,Arterial/Collector
10592-10543,3622.58314,2200,Arterial/Collector
10592-10591,17307.34172,11000,Arterial/Collector
10592-10596,22477.51115,14150,Arterial/Collector
10592-10711,5349.598566,3300,Arterial/Collector
10594-10595,15733.68236,10350,Arterial/Collector
10594-10613,16703.45226,13050,Arterial/Collector
10595-10541,6702.40258,6100,Arterial/Collector
10595-10591,15688.86512,11000,Arterial/Collector
10595-10594,14745.09878,10350,Arterial/Collector
10595-10709,7683.131569,6100,Arterial/Collector
10596-10592,20823.64776,14150,Arterial/Collector
10596-10597,20593.14107,14400,Arterial/Collector
10596-10639,28569.17831,19500,Arterial/Collector
