id,vadt,AADT,FacilityType
12398-20463,14935.161396245163,16600,Interstate
12398-20465,34620.853018283844,37800,Interstate
12419-12369,11763.55514138937,14070,Interstate
12425-12375,3607.9680406985185,4627,Interstate
12436-20336,6114.789787635207,3585,Interstate
12459-12392,28992.753721415993,23498,Interstate
12461-12688,17154.39507458607,13790,Interstate
12467-12521,2625.703513749875,4800,Interstate
12489-21832,12139.287854512533,13790,Interstate
12501-12565,9615.654482190806,7880,Interstate
12501-12582,10833.915937912961,15025,Interstate
12521-23956,87765.27094745636,92600,Interstate
12533-12743,53413.32326857249,67965,Interstate
12535-12466,2557.6548786126077,3500,Interstate
12535-20211,86011.23575655618,95200,Interstate
12537-12362,100658.71320406595,108800,Interstate
12565-20331,8884.45373294751,14170,Interstate
12582-20331,12729.490101943415,10078,Interstate
12585-12537,6380.197188689063,4522,Interstate
12606-12535,88568.89047495523,98700,Interstate
12634-13130,18573.064668536186,25694,Interstate
12635-12012,18618.415817896526,28195,Interstate
12642-12606,12314.146199862162,6700,Interstate
12644-12828,82466.19167073567,88700,Interstate
12654-12625,4116.247490956448,4400,Interstate
12654-21628,89249.10831419626,97900,Interstate
12658-24005,9098.025761528563,6585,Interstate
12660-23557,14567.249997735023,18702,Interstate
12664-12635,4249.874382396539,3054,Interstate
12666-21130,32524.157814512648,18702,Interstate
12672-12827,87294.86320749919,94900,Interstate
12688-21836,8961.491562139552,13790,Interstate
12721-21837,9103.70406149514,12066,Interstate
12745-12775,1246.279671802108,749,Interstate
12746-11847,49049.3017164866,77154,Interstate
12762-12980,53413.32326857249,67965,Interstate
12775-12745,1070.830645220587,1500,Interstate
12779-12828,3634.666813345325,4020,Interstate
12808-21135,56707.86370984713,72400,Interstate
12816-12654,93365.35305086772,102300,Interstate
12816-12800,2850.515030608668,2400,Interstate
12827-12872,6528.382574647664,5628,Interstate
12827-12978,80766.47855854034,89300,Interstate
12828-12905,86100.85959116618,92300,Interstate
12840-20282,55032.49045070013,69700,Interstate
12840-21128,12464.178671482949,11356,Interstate
12850-21070,84140.29718494415,99500,Interstate
12876-12850,4012.0161938276146,8400,Interstate
12905-12927,7740.883631606897,8400,Interstate
12905-21641,78359.97697766621,83900,Interstate
12932-20612,2758.9394378298894,6492,Interstate
12932-20613,32147.039004047718,27537,Interstate
12942-21142,21114.7281631045,20834,Interstate
12946-20350,20822.650567094486,20301,Interstate
12954-13003,2085.3086215894045,2800,Interstate
12955-21638,9637.056712945305,12100,Interstate
12977-20609,1788.7091747249165,4942,Interstate
12978-13013,9941.736495150251,10100,Interstate
12978-21065,70824.74362913768,79200,Interstate
12979-12993,7448.395438194275,6008,Interstate
12980-12946,5098.247598340114,2741,Interstate
12980-20348,48315.075002352394,67965,Interstate
12989-12977,3664.6673460506527,1647,Interstate
12989-20609,32479.664065559708,28944,Interstate
12993-20356,44901.67195590337,55456,Interstate
12996-13006,7967.79205818971,7289,Interstate
12996-20352,35728.02684577306,55456,Interstate
12997-12761,49049.3017164866,67965,Interstate
13003-13102,80445.2846285502,88299,Interstate
13010-12955,4629.083466315177,3200,Interstate
13010-21638,86578.81256294249,92600,Interstate
13013-21055,11153.100119829176,10900,Interstate
13013-21065,11727.495405107737,13900,Interstate
13019-12997,10552.083931287129,15563,Interstate
13019-20349,26631.61991612117,20301,Interstate
13019-22305,27702.003596941628,20301,Interstate
13029-13076,5561.808734086652,3585,Interstate
13033-12840,67496.6710465749,76100,Interstate
13045-13029,5702.241587055226,5330,Interstate
13045-13076,28954.20262241364,24321,Interstate
13050-13102,8995.722636702782,1400,Interstate
13056-12989,36144.33154886961,30652,Interstate
13061-13101,9493.823204694936,12964,Interstate
13062-13033,7985.952305972576,9700,Interstate
13064-13013,10389.434607680889,12500,Interstate
13064-21055,68975.18062591553,80200,Interstate
13076-13130,34516.01200081905,33064,Interstate
13092-13056,29564.011342048645,25225,Interstate
13092-13106,5549.099326218168,8236,Interstate
13101-21122,64250.055696884796,72600,Interstate
13102-13173,89441.00772984822,89700,Interstate
13106-13056,6580.320081289857,5233,Interstate
13112-13010,91207.89669164023,95800,Interstate
13112-24022,3418.5164328928413,1700,Interstate
13130-20619,53089.076177597046,58800,Interstate
13131-12635,14368.541629175346,25812,Interstate
13169-13188,5933.729694113136,8300,Interstate
13173-13209,9365.852028886477,12000,Interstate
13173-13220,80075.15445137022,89700,Interstate
13179-13112,94626.41394646962,97500,Interstate
13186-20476,4000.2387138033905,12200,Interstate
13188-13299,59870.194551467896,67100,Interstate
13190-20474,6833.216214219729,8300,Interstate
13201-13203,1041.0478890788895,1699,Interstate
13201-20620,55116.797035853066,68600,Interstate
13210-13179,13232.942124108473,13800,Interstate
13212-13220,3587.0629371765535,2200,Interstate
13220-13269,83662.21772448222,79900,Interstate
13269-13298,5798.475968062877,6700,Interstate
13269-13413,77863.74067815144,73200,Interstate
13270-13179,81393.47189203899,83700,Interstate
13270-13246,4791.120444325109,2100,Interstate
13299-20627,3893.717071910699,5200,Interstate
13299-20628,55976.47762616476,61900,Interstate
13316-13201,56157.843453248344,70300,Interstate
13342-13316,3839.929075269029,4800,Interstate
13345-13064,79364.61479791006,92700,Interstate
13349-13376,7532.0542328208685,8200,Interstate
13349-21076,75020.18612988791,84900,Interstate
13376-13345,6957.463854134083,8700,Interstate
13376-21075,9027.227047368884,15500,Interstate
13382-13413,1168.3025554776589,2600,Interstate
13383-13270,86184.59163824718,85800,Interstate
13403-13383,7493.735518296558,11400,Interstate
13405-13419,9337.910352125764,6700,Interstate
13413-13416,79032.04283046722,75800,Interstate
13416-21342,80586.23395347595,78200,Interstate
13418-13316,52317.91482162475,65500,Interstate
13418-20631,8039.7231920808545,6700,Interstate
13419-13513,68085.1636616389,71100,Interstate
13420-13416,1554.18922994053,2400,Interstate
13429-20628,2770.7768373337267,2500,Interstate
13448-13426,2144.653686405625,2300,Interstate
13448-21654,83953.77458794911,76900,Interstate
13450-20661,12459.994255098205,8300,Interstate
13462-13521,5539.129539702708,6000,Interstate
13462-20659,58271.824138959244,74100,Interstate
13468-21125,71634.77233465514,78500,Interstate
13472-13514,5569.15681519111,6900,Interstate
13473-21071,5942.52113240709,7900,Interstate
13476-20652,58021.220928510025,69500,Interstate
13476-20654,4554.81694331579,3400,Interstate
13507-13534,9212.885559262399,12100,Interstate
13512-20642,56321.42149957021,65800,Interstate
13513-13512,54187.158257484436,61700,Interstate
13513-13554,13898.00595329205,9400,Interstate
13514-13642,83152.29809236526,101200,Interstate
13515-13473,5441.315349879986,5500,Interstate
13515-21072,75729.40859683354,90600,Interstate
13531-20633,65066.291047255196,75100,Interstate
13534-13736,65629.49520572028,74300,Interstate
13535-20637,62197.88525422415,70000,Interstate
13535-20640,4125.7351114799585,6800,Interstate
13541-13568,5699.96463110298,8500,Interstate
13542-13531,9294.692281020185,9700,Interstate
13568-13476,62576.03815841675,72900,Interstate
13576-20644,53413.41137266159,67900,Interstate
13576-20646,8790.586250354847,8900,Interstate
13605-13642,6186.384297742663,8200,Interstate
13610-13645,6004.604647189378,4900,Interstate
13633-20679,70278.8735909462,75800,Interstate
13642-13693,89338.68278233211,109399,Interstate
13643-13515,81170.72451019286,96100,Interstate
13643-13595,7261.7416787069915,8300,Interstate
13645-13659,73526.51950089136,79200,Interstate
13646-13462,63810.95272954306,80100,Interstate
13648-20675,70607.69224977493,80000,Interstate
13657-13648,6680.50532206893,5700,Interstate
13658-20671,2720.1747054706016,3600,Interstate
13659-13670,7150.66260305047,8600,Interstate
13659-13698,66375.85742839177,70600,Interstate
13667-13646,7545.512836595377,9900,Interstate
13676-13698,3875.1771384819103,3700,Interstate
13685-21348,58232.336462497704,74300,Interstate
13685-21352,12018.697788357735,6500,Interstate
13693-13728,10256.44163247943,10300,Interstate
13693-13891,79082.2394097646,99100,Interstate
13694-13643,88432.46793063481,104400,Interstate
13698-13685,70251.03487110136,74300,Interstate
13701-13702,5234.11715143919,7700,Interstate
13702-20684,72765.50941117604,83600,Interstate
13710-20685,70554.54817756017,78700,Interstate
13729-13694,11686.875594973566,10700,Interstate
13736-13768,9202.407796919346,9100,Interstate
13736-21117,56427.087172428764,65200,Interstate
13768-21117,14235.942336924374,22500,Interstate
13769-21118,11968.277918686468,10100,Interstate
13801-13769,9846.007519801458,21700,Interstate
13801-21118,61488.54373335839,67900,Interstate
13862-13891,9366.320845141618,9100,Interstate
13891-13998,88448.5612929662,108200,Interstate
13899-13694,76745.59110625584,93700,Interstate
13899-23959,7707.914823937229,8800,Interstate
13946-20412,4121.324105175212,5829,Interstate
13952-13946,3525.031564341858,3316,Interstate
13963-13801,71334.54918996492,89600,Interstate
13994-14022,13274.199815894166,13000,Interstate
13995-13963,9156.884955719113,11600,Interstate
13998-21051,79657.45446793239,98200,Interstate
13998-23960,8791.107492695251,10000,Interstate
14022-14312,76394.26018853982,90200,Interstate
14026-14027,3810.4675321254567,6432,Interstate
14027-20399,10821.507090747356,9648,Interstate
14074-21048,77114.96421480179,92700,Interstate
14074-23957,6603.08391937955,8700,Interstate
14216-20393,3325.3788533336483,3819,Interstate
14222-14074,83718.04485321046,101400,Interstate
14222-23972,7890.72410114482,5000,Interstate
14225-14273,93631.96318912508,113300,Interstate
14267-14354,8822.441533128422,10251,Interstate
14273-14319,7833.944886649648,10000,Interstate
14273-14458,85798.01928043365,103300,Interstate
14274-14222,91608.77255423863,106400,Interstate
14298-20376,745.2726160389914,3316,Interstate
14312-14354,10034.166524751732,14599,Interstate
14312-14401,66360.09392182033,75600,Interstate
14313-21113,71667.83213146527,87700,Interstate
14320-14274,8081.883229424557,10400,Interstate
14349-14268,13011.837468336027,11256,Interstate
14349-14313,8288.294237981241,15778,Interstate
14388-14401,7547.226923465729,10200,Interstate
14401-21109,73907.32276928425,85800,Interstate
14404-14313,63379.53667346637,73000,Interstate
14404-14376,11741.723082443079,11200,Interstate
14439-14483,7476.05421416741,6000,Interstate
14439-14631,18955.81829706828,41100,Interstate
14440-20448,28858.47207959493,48800,Interstate
14446-14376,9558.408525367578,15778,Interstate
14458-14512,80663.74009466171,93900,Interstate
14458-23248,5134.280002422631,8643,Interstate
14463-14274,83526.8901664416,96000,Interstate
14484-14440,8338.492855851073,6600,Interstate
14512-14634,87064.90735435486,100800,Interstate
14520-14463,79103.89618221919,86100,Interstate
14520-23251,6029.495638281107,8140,Interstate
14561-19279,8332.409815589588,2713,Interstate
14566-20372,57751.075806220375,53064,Interstate
14631-14667,18873.640816370647,35074,Interstate
14632-24046,5843.275973200798,3349,Interstate
14634-14688,90564.86171388626,103630,Interstate
14635-14520,85133.39095083873,93600,Interstate
14635-23924,3215.9907753306134,5400,Interstate
14643-14440,20519.978710810345,42200,Interstate
14668-14566,48485.918149501085,50551,Interstate
14671-14745,40215.241426467896,52425,Interstate
14672-14671,40208.57475980123,52425,Interstate
14674-14673,40208.57475980123,52425,Interstate
14678-14635,88349.3813293775,99000,Interstate
14684-21428,9080.22284476956,6800,Interstate
14688-14754,81652.20068279903,96100,Interstate
14688-23935,8912.662404091,10900,Interstate
14690-14691,39548.266680399574,52424,Interstate
14692-14693,39548.266680399574,52424,Interstate
14693-20374,34335.071309407555,52589,Interstate
14708-14404,75121.25995524725,84200,Interstate
14728-24048,1160.1380729228258,2154,Interstate
14738-14643,20128.05138842265,33266,Interstate
14741-14768,11553.497003532944,11758,Interstate
14742-21106,9306.83301584345,18800,Interstate
14745-14890,37440.952280680336,50728,Interstate
14746-14743,1160.1380729228258,2154,Interstate
14751-14756,12221.876409226406,10100,Interstate
14754-14788,89817.70654010773,102000,Interstate
14755-14678,78989.11496512096,88900,Interstate
14755-23928,6406.153685453037,6000,Interstate
14756-14976,49002.24782618383,55700,Interstate
14768-20810,70636.53161438307,64499,Interstate
14776-14690,39550.266680399574,52425,Interstate
14776-14750,20128.05138842265,34371,Interstate
14788-14912,85274.56378841399,92900,Interstate
14788-23927,4543.141801234646,9100,Interstate
14797-14755,85395.26804550488,94900,Interstate
14873-21439,7834.368450701237,10100,Interstate
14888-21106,2351.0601419992745,18800,Interstate
14890-15488,55746.40733655294,81453,Interstate
14912-14980,85854.56845855711,92900,Interstate
14924-14797,81546.27834113438,84800,Interstate
14924-23932,1791.5935209915042,10200,Interstate
14928-21446,6870.375445864474,6800,Interstate
14952-21184,4982.265566669405,6900,Interstate
14963-14952,10707.374741964664,12100,Interstate
14963-21184,44052.05867263674,47300,Interstate
14971-14975,57532.31777518988,63200,Interstate
14972-14971,8657.821074010184,6900,Interstate
14974-14977,2867.168906868746,5600,Interstate
14975-14969,5640.055706105835,9400,Interstate
14975-14977,51892.26437323293,53800,Interstate
14976-14984,5140.508236974478,5900,Interstate
14976-21178,43861.73882635932,49800,Interstate
14977-14963,54759.43382202586,59400,Interstate
14978-14988,7924.853287085891,7400,Interstate
14978-15026,50148.28270913164,59100,Interstate
14980-15238,79731.97783319156,93800,Interstate
14980-23931,6122.591621076688,8800,Interstate
14981-14924,83337.87152465184,95000,Interstate
14984-21178,14517.151527926946,12700,Interstate
14985-14986,54001.395557428405,57900,Interstate
14985-14993,4377.494038001944,4600,Interstate
14986-14978,58073.13488730292,66500,Interstate
14990-21441,5185.907946993908,7900,Interstate
14991-14776,59678.317902882896,50728,Interstate
14995-14986,4071.740283404632,8600,Interstate
15025-15026,8408.7626020452,10500,Interstate
15026-20839,58557.045513113335,69600,Interstate
15043-14971,48874.496627678476,56300,Interstate
15043-15003,8516.476998803515,11500,Interstate
15072-15110,18701.70435643196,38200,Interstate
15110-15159,20036.5213316679,38953,Interstate
15115-15072,21955.730196237564,33700,Interstate
15159-15191,22939.035220742226,45500,Interstate
15168-15115,21955.730196237564,38954,Interstate
15168-15128,2701.5787954330444,7946,Interstate
15173-14981,77109.09819356601,84600,Interstate
15191-20035,22939.035220742226,45931,Interstate
15197-15216,5918.582933495442,6202,Interstate
15198-20036,24657.309619784355,45931,Interstate
15204-15216,21713.95013308525,54700,Interstate
15204-20039,1463.3975713747786,1549,Interstate
15211-15198,25078.757445693016,51000,Interstate
15215-20051,1655.6715822569095,9690,Interstate
15216-15253,27632.533334891003,60400,Interstate
15227-15211,22071.51597762108,53399,Interstate
15227-20040,4682.952106744051,5911,Interstate
15238-21021,40816.49037412803,36800,Interstate
15253-20050,1962.5465864340465,4554,Interstate
15253-20051,25669.986688137054,55232,Interstate
15260-20999,31362.4526163737,97786,Interstate
15260-21047,90143.07724396388,94200,Interstate
15262-20985,116732.800151666,118200,Interstate
15262-23428,9476.277552872896,5500,Interstate
15263-15241,5263.306427226713,3100,Interstate
15263-15262,126209.07704289754,126799,Interstate
15274-15293,126945.39412164688,135500,Interstate
