id,vadt,AADT,FacilityType,flag
10985-11004,21812.64305,12064,Interstate,N
10991-11274,58942.3142,86768,Interstate,N
10992-10782,45475.60194,32899,Interstate,N
11000-21507,3289.754541,2713,Interstate,N
11004-11047,13071.41975,10624,Interstate,N
11005-10952,6215.825112,1708,Interstate,N
11007-10948,2617.234226,5427,Interstate,N
11011-11059,9811.622088,11063,Interstate,N
11012-21511,367.8956522,5025,Interstate,N
11014-20246,21646.46529,26749,Interstate,N
11026-10929,680.045865,3316,Interstate,N
11027-11031,54811.4738,35426,Interstate,N
11028-10977,1154.00556,6331,Interstate,N
11031-10942,40351.20101,28779,Interstate,N
11040-11051,18804.26857,11240,Interstate,N
11047-20256,11353.77743,11869,Interstate,N
11051-11040,14606.03801,11240,Interstate,N
11051-11135,20266.26653,11047,Interstate,N
11052-10997,45475.60194,32899,Interstate,N
11058-20692,53029.88266,36331,Interstate,N
11059-11176,60592.33626,50076,Interstate,N
11063-20263,12569.13171,8517,Interstate,N
11064-20263,51620.45686,90264,Interstate,N
11065-11104,3799.983499,1615,Interstate,N
11070-11227,23257.77518,26987,Interstate,N
11083-11254,16280.89343,17926,Interstate,N
11086-11068,12569.13171,8517,Interstate,N
11097-21742,60900.71478,78200,Interstate,N
11098-20281,38990.16645,30867,Interstate,N
11103-11110,31394.99704,23256,Interstate,N
11104-11103,42083.07607,27520,Interstate,N
11106-10799,59958.44519,67100,Interstate,N
11110-11103,31941.03492,23256,Interstate,N
11110-11117,32437.55483,23256,Interstate,N
11115-11029,48105.24991,30717,Interstate,N
11116-11128,25706.63843,9254,Interstate,N
11116-11250,26239.71903,11982,Interstate,N
11117-11110,33587.31955,23256,Interstate,N
11117-11119,27091.60093,23256,Interstate,N
11118-11119,39698.96583,23256,Interstate,N
11118-21725,39936.41356,23256,Interstate,N
11119-11117,28087.06653,23256,Interstate,N
11119-11118,39023.70933,23256,Interstate,N
11124-11128,28220.22112,16811,Interstate,N
11124-21740,30188.01823,17345,Interstate,N
11128-11116,26035.65245,9254,Interstate,N
11128-11124,28464.62676,16811,Interstate,N
11129-6762,9836.965127,12399,Interstate,N
11135-11051,18625.75741,11047,Interstate,N
11135-11150,20266.26653,11580,Interstate,N
11142-11064,48581.40339,90263,Interstate,N
11144-20176,65887.11997,75900,Interstate,N
11145-11106,56257.52822,62800,Interstate,N
11145-22427,11431.40164,14400,Interstate,N
11148-11150,22602.30327,15321,Interstate,N
11148-11160,23883.50865,15359,Interstate,N
11150-11135,18625.75741,11580,Interstate,N
11150-11148,23883.50865,15321,Interstate,N
11153-20321,61518.11498,77600,Interstate,N
11160-11148,22602.30327,15359,Interstate,N
11160-11307,19296.91885,15359,Interstate,N
11168-11211,4402.685136,4137,Interstate,N
11176-11200,9161.824861,2906,Interstate,N
11176-20710,51430.51142,47438,Interstate,N
11177-21506,25192.39177,49094,Interstate,N
11189-20706,58977.93779,50076,Interstate,N
11193-11106,3700.917754,4300,Interstate,N
11211-11730,49681.33862,71381,Interstate,N
11218-11156,5870.858676,8077,Interstate,N
11218-21588,47623.74541,69662,Interstate,N
11227-20245,28768.78655,26987,Interstate,N
11248-11189,8730.328447,2906,Interstate,N
11250-11116,26002.9339,11982,Interstate,N
11250-11344,24174.0608,15397,Interstate,N
11252-11171,48581.40339,90264,Interstate,N
11254-11286,17803.77641,17926,Interstate,N
11274-11335,15663.04187,23837,Interstate,N
11274-11420,43279.27101,65055,Interstate,N
11280-11252,37618.55684,67367,Interstate,N
11280-24035,3724.394994,11345,Interstate,N
11286-11332,17803.77641,17926,Interstate,N
11291-24035,2428.106187,1371,Interstate,N
11307-11160,19215.55258,15359,Interstate,N
11307-11342,25834.18954,15359,Interstate,N
11310-11356,28026.90588,15843,Interstate,N
11314-11408,31966.97102,14390,Interstate,N
11323-21536,26006.97407,19798,Interstate,N
11332-11373,4771.763077,6853,Interstate,N
11332-20708,13032.01307,17659,Interstate,N
11335-11312,5048.100422,5287,Interstate,N
11335-11449,10614.9415,18912,Interstate,N
11342-11307,26024.05851,15359,Interstate,N
11342-11481,21329.02437,12064,Interstate,N
11344-11250,24797.00885,15397,Interstate,N
11356-11389,6116.445565,4300,Interstate,N
11356-20185,21910.46013,15843,Interstate,N
11357-11145,67688.92955,77200,Interstate,N
11363-11189,50247.60745,47399,Interstate,N
11363-11377,4754.925575,5319,Interstate,N
11373-20713,61568.85187,59425,Interstate,N
11377-20709,24945.42772,17766,Interstate,N
11387-20183,33511.41088,15843,Interstate,N
11389-20189,64655.95195,62000,Interstate,N
11392-11415,8169.966799,2300,Interstate,N
11395-20235,34299.77046,14390,Interstate,N
11399-20178,5644.458617,12050,Interstate,N
11404-20179,26656.51238,18920,Interstate,N
11408-11502,7025.634573,13396,Interstate,N
11408-20236,24941.33635,14390,Interstate,N
11409-20181,60193.23557,69400,Interstate,N
11415-11423,62793.52622,58800,Interstate,N
11416-11280,41342.95093,65055,Interstate,N
11420-11529,20899.08588,61050,Interstate,N
11420-20208,22380.18523,32699,Interstate,N
11423-11461,19080.21706,21802,Interstate,N
11423-20201,43713.30941,36100,Interstate,N
11425-20188,60098.22176,66800,Interstate,N
11436-11409,10493.38741,12300,Interstate,N
11436-20197,50056.23328,71166,Interstate,N
11437-11436,60549.62048,94718,Interstate,N
11441-11395,15937.61954,13686,Interstate,N
11441-20241,1406.776214,1371,Interstate,N
11442-11443,58714.51937,94474,Interstate,N
11443-21662,58714.51937,95044,Interstate,N
11449-20268,58491.74468,92516,Interstate,N
11450-11449,47876.80421,73554,Interstate,N
11451-20258,52906.28087,75726,Interstate,N
11457-20259,45287.65626,71227,Interstate,N
11459-20252,49792.73837,75726,Interstate,N
11460-11440,52906.28087,75725,Interstate,N
11461-11469,63332.11451,84830,Interstate,N
11462-11442,48279.16476,71166,Interstate,N
11463-11727,20592.03652,17185,Interstate,N
11465-11457,45287.65626,80013,Interstate,N
11465-24028,14536.64218,21832,Interstate,N
11466-11425,4820.086953,4899,Interstate,N
11468-20337,63889.31216,82400,Interstate,N
11469-11416,21781.31863,32992,Interstate,N
11469-11472,41550.79688,62006,Interstate,N
11470-11528,5554.372903,6402,Interstate,N
11472-20241,45479.91684,62006,Interstate,N
11475-11496,44558.00703,70831,Interstate,N
11475-11506,4245.926177,2594,Interstate,N
11478-11622,18542.10341,18799,Interstate,N
11481-11342,20852.38833,12064,Interstate,N
11481-11581,23047.4401,12253,Interstate,N
11484-11395,18362.15025,15366,Interstate,N
11484-11472,3929.119673,5972,Interstate,N
11486-20196,57627.37576,63500,Interstate,N
11487-20200,18752.19478,15662,Interstate,N
11496-20203,25041.69087,62006,Interstate,N
11496-20230,19516.31589,21178,Interstate,N
11502-11529,12010.94828,18814,Interstate,N
11506-11441,17344.39563,12306,Interstate,N
11507-11668,30910.22612,23467,Interstate,N
11507-21536,20609.88715,19798,Interstate,N
11508-11535,2759.133156,4137,Interstate,N
11523-11416,19561.63273,59200,Interstate,N
11523-11484,22291.26989,21670,Interstate,N
11525-11465,59824.29582,92515,Interstate,N
11528-11593,56471.66367,80918,Interstate,N
11530-11506,13098.46977,12306,Interstate,N
