root,node,count,Category,color
IN,North Cook,1689.0774,Survey,#5bbc80
IN,South Chicago,63817.65539,Survey,#5bbc81
IN,South Cook,277129.0806,Survey,#5bbc82
IN,West Chicago,3423.908116,Survey,#5bbc83
IN,West Cook,23272.23651,Survey,#5bbc84
IN,Will,112238.5617,Survey,#5bbc85
IN,DuPage,1720,Model,#5bbc86
IN,IL,4390,Model,#5bbc87
IN,IN,1927885,Model,#5bbc88
IN,Kane,130,Model,#5bbc89
IN,Kendall,90,Model,#5bbc90
IN,CBD,7145,Model,#5bbc91
IN,Lake,330,Model,#5bbc92
IN,McHenry,25,Model,#5bbc93
IN,North Chicago,7125,Model,#5bbc94
IN,North Cook,1875,Model,#5bbc95
IN,South Chicago,47080,Model,#5bbc96
IN,South Cook,135720,Model,#5bbc97
IN,WI,40,Model,#5bbc98
IN,West Chicago,5810,Model,#5bbc99
IN,West Cook,3000,Model,#5bbc100
IN,Will,19255,Model,#5bbc101
Kane,DuPage,12374187.64,Survey,#573687
Kane,IL,2742216.157,Survey,#573688
Kane,IN,1413.444632,Survey,#573689
Kane,Kane,198325302.8,Survey,#573690
Kane,Kendall,13205742.48,Survey,#573691
Kane,CBD,131848.3769,Survey,#573692
Kane,Lake,2222192.169,Survey,#573693
Kane,McHenry,19378163.34,Survey,#573694
Kane,North Chicago,359651.8413,Survey,#573695
Kane,North Cook,1928373.351,Survey,#573696
Kane,South Chicago,184643.35,Survey,#573697
Kane,South Cook,414080.1806,Survey,#573698
Kane,West Chicago,158015.6646,Survey,#573699
Kane,West Cook,5325560.36,Survey,#573700
Kane,Will,3868116.52,Survey,#573701
Kane,DuPage,152225,Model,#573702
Kane,IL,27150,Model,#573703
Kane,IN,130,Model,#573704
Kane,Kane,1016810,Model,#573705
Kane,Kendall,44230,Model,#573706
Kane,CBD,2095,Model,#573707
Kane,Lake,10655,Model,#573708
Kane,McHenry,60275,Model,#573709
Kane,North Chicago,6770,Model,#573710
Kane,North Cook,32800,Model,#573711
Kane,South Chicago,1380,Model,#573712
Kane,South Cook,2015,Model,#573713
Kane,WI,1510,Model,#573714
Kane,West Chicago,2270,Model,#573715
Kane,West Cook,74290,Model,#573716
Kane,Will,23545,Model,#573717
Kendall,DuPage,13932472.44,Survey,#c99035
Kendall,IL,15131368.58,Survey,#c99036
Kendall,Kane,12126305.05,Survey,#c99037
Kendall,Kendall,362552609.3,Survey,#c99038
Kendall,CBD,144444.4448,Survey,#c99039
Kendall,McHenry,783850.0133,Survey,#c99040
Kendall,North Chicago,215612.6694,Survey,#c99041
Kendall,North Cook,35848.926,Survey,#c99042
Kendall,South Chicago,207350.1955,Survey,#c99043
Kendall,South Cook,106587.4406,Survey,#c99044
Kendall,West Chicago,313206.9573,Survey,#c99045
Kendall,West Cook,360095.8869,Survey,#c99046
Kendall,Will,25964089.67,Survey,#c99047
Kendall,DuPage,29425,Model,#c99048
Kendall,IL,12355,Model,#c99049
Kendall,IN,75,Model,#c99050
Kendall,Kane,43785,Model,#c99051
