Index, Model 01 , Survey 01 ,Category,Description,Title
Visiting,583970,413333,2.5-5 Mile,visiting 2.5-5 Mile,2.5-5 Mile
Visiting,534885,555625,Less than 2.5 Mile,visiting Less than 2.5 Mile,Less than 2.5 Mile
Eating Out,534275,566005,5-10 Miles,eatingout 5-10 Miles,5-10 Miles
Work,476325,537399,15-20 Miles,work 15-20 Miles,15-20 Miles
Shop,443500,377738,10-15 Miles,shop 10-15 Miles,10-15 Miles
University,394485,320865,All,university All,All
Visiting,392580,416967,5-10 Miles,visiting 5-10 Miles,5-10 Miles
School,376035,417289,5-10 Miles,school 5-10 Miles,5-10 Miles
Maintenance,371150,386582,10-15 Miles,maintenance 10-15 Miles,10-15 Miles
Work-based,319095,193922,5-10 Miles,work-based 5-10 Miles,5-10 Miles
Escort,289370,261820,10-15 Miles,escort 10-15 Miles,10-15 Miles
Work,278370,393041,20-25 Miles,work 20-25 Miles,20-25 Miles
Work-based,239755,169314,Less than 2.5 Mile,work-based Less than 2.5 Mile,Less than 2.5 Mile
Work-based,215870,158844,2.5-5 Mile,work-based 2.5-5 Mile,2.5-5 Mile
Work,201510,483441,30 Miles or More,work 30 Miles or More,30 Miles or More
Work-based,198620,109252,10-15 Miles,work-based 10-15 Miles,10-15 Miles
Eating Out,190250,166260,10-15 Miles,eatingout 10-15 Miles,10-15 Miles
Shop,185005,170339,15-20 Miles,shop 15-20 Miles,15-20 Miles
Work,171700,266474,25-30 Miles,work 25-30 Miles,25-30 Miles
Discretionary,171650,253058,10-15 Miles,discretionary 10-15 Miles,10-15 Miles
Visiting,165600,183095,10-15 Miles,visiting 10-15 Miles,10-15 Miles
Maintenance,151005,171729,15-20 Miles,maintenance 15-20 Miles,15-20 Miles
Escort,135410,119941,15-20 Miles,escort 15-20 Miles,15-20 Miles
Discretionary,132705,90446,30 Miles or More,discretionary 30 Miles or More,30 Miles or More
University,115710,84781,5-10 Miles,university 5-10 Miles,5-10 Miles
Visiting,94250,102705,30 Miles or More,visiting 30 Miles or More,30 Miles or More
Visiting,93315,82746,15-20 Miles,visiting 15-20 Miles,15-20 Miles
Work-based,91460,65129,15-20 Miles,work-based 15-20 Miles,15-20 Miles
Eating Out,88950,79219,15-20 Miles,eatingout 15-20 Miles,15-20 Miles
Shop,85600,88088,20-25 Miles,shop 20-25 Miles,20-25 Miles
School,79775,110868,10-15 Miles,school 10-15 Miles,10-15 Miles
University,78375,44637,2.5-5 Mile,university 2.5-5 Mile,2.5-5 Mile
Discretionary,76515,110900,15-20 Miles,discretionary 15-20 Miles,15-20 Miles
Escort,69545,65910,20-25 Miles,escort 20-25 Miles,20-25 Miles
Maintenance,69150,82912,20-25 Miles,maintenance 20-25 Miles,20-25 Miles
Maintenance,68265,132978,30 Miles or More,maintenance 30 Miles or More,30 Miles or More
University,64960,62119,10-15 Miles,university 10-15 Miles,10-15 Miles
Shop,61990,91922,30 Miles or More,shop 30 Miles or More,30 Miles or More
Escort,59525,108037,30 Miles or More,escort 30 Miles or More,30 Miles or More
Visiting,56765,46571,20-25 Miles,visiting 20-25 Miles,20-25 Miles
Discretionary,47995,42993,20-25 Miles,discretionary 20-25 Miles,20-25 Miles
Eating Out,47315,47124,20-25 Miles,eatingout 20-25 Miles,20-25 Miles
Eating Out,47045,56273,30 Miles or More,eatingout 30 Miles or More,30 Miles or More
