OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
14650,2823.000000000000000,West Cook,0.033958962287899,0.000070613515643
14651,2810.000000000000000,West Cook,0.033834469729697,0.000070130717645
14652,2809.000000000000000,West Cook,0.033730185577057,0.000069627716046
14653,2808.000000000000000,West Cook,0.033788281753685,0.000069842136049
14654,2807.000000000000000,West Cook,0.033443905918630,0.000068755886330
14655,11745.000000000000000,DuPage,0.028485099300612,0.000039122916264
14656,11744.000000000000000,DuPage,0.037218151616292,0.000081759165133
14657,2735.000000000000000,West Cook,0.041745033544596,0.000103454691952
14658,2977.000000000000000,South Cook,0.034057314267291,0.000070970123082
14659,2974.000000000000000,South Cook,0.034227012775490,0.000071610479048
14660,2973.000000000000000,South Cook,0.034258489652757,0.000071762815889
14661,2970.000000000000000,South Cook,0.034007061039499,0.000070926708598
14662,2969.000000000000000,South Cook,0.032729882729103,0.000066299952535
14663,2846.000000000000000,South Cook,0.033981056121890,0.000070885692536
14664,2845.000000000000000,South Cook,0.033860345075251,0.000070304266535
14665,2842.000000000000000,South Cook,0.033966184655345,0.000070622295585
14666,2841.000000000000000,South Cook,0.033979246918212,0.000070686274568
14667,2830.000000000000000,South Cook,0.033841396454798,0.000070162738759
14668,2829.000000000000000,West Cook,0.033793355913708,0.000069933018983
14669,2828.000000000000000,West Cook,0.033919166220579,0.000070403434838
14670,2827.000000000000000,West Cook,0.033974725763229,0.000070674697900
14671,2734.000000000000000,West Cook,0.032662698478726,0.000059905129041
14672,2814.000000000000000,West Cook,0.033805022219365,0.000070019295143
14673,2813.000000000000000,West Cook,0.033701661592945,0.000069519636067
14674,2812.000000000000000,West Cook,0.033783306563522,0.000069834798305
14675,2811.000000000000000,West Cook,0.033655256190738,0.000069533615911
14676,2997.000000000000000,South Cook,0.034160712563613,0.000071481899202
14677,2994.000000000000000,South Cook,0.034281255765226,0.000071908914310
14678,2993.000000000000000,South Cook,0.034255944726635,0.000071780911417
14679,2990.000000000000000,South Cook,0.033923237271134,0.000070522781922
14680,2989.000000000000000,South Cook,0.032549505127063,0.000065444087473
14681,2882.000000000000000,South Cook,0.033763236957162,0.000069821864083
14682,2881.000000000000000,South Cook,0.033797322281930,0.000069989499185
14683,2880.000000000000000,South Cook,0.033952549787190,0.000070589600826
14684,2879.000000000000000,South Cook,0.033981142412791,0.000070726231669
14685,2866.000000000000000,South Cook,0.033939420869648,0.000070598752618
14686,2865.000000000000000,South Cook,0.033964444747172,0.000070725441803
14687,2864.000000000000000,West Cook,0.034026967770389,0.000070918717808
14688,2863.000000000000000,West Cook,0.033925054201237,0.000070426448126
14689,2850.000000000000000,West Cook,0.033747454315917,0.000069748510522
14690,2849.000000000000000,West Cook,0.033813376584605,0.000070068203872
14691,2848.000000000000000,West Cook,0.033892798901216,0.000070372127100
14692,2847.000000000000000,West Cook,0.033764496839518,0.000069845666981
