res_gs,work_gs,Residence,Workplace,FREQUENCY,SUM_Walked,SUM_Bicycle,SUM_Car_truck_or_van_Drove_alone,SUM_Car_truck_or_van_In_a_2_person_carpool,SUM_Car_truck_or_van_In_a_3_person_carpool,SUM_Car_truck_or_van_In_a_4_person_carpool,SUM_Car_truck_or_van_In_a_5_or_6_person_carpool,SUM_Car_truck_or_van_In_a_7_or_more_person_carpool,SUM_Motorcycle,SUM_Taxicab,SUM_Bus_or_trolley_bus,SUM_Subway_or_elevated,SUM_Railroad,SUM_Streetcar_or_trolley_car,SUM_Ferryboat,SUM_Other_method,SUM_Worked_at_home,,SUM_Total_means_of_transportation
gs04,gs06,Inner South,Inner West,459,87,8,4174,227,63,43,49,54,0,19,614,324,64,4,0,29,0,,5761
gs04,gs07,Inner South,Inner Upper West,182,34,0,1450,267,20,10,0,55,0,0,264,109,49,25,0,20,0,,2301
gs04,gs08,Inner South,Inner Lower West,471,56,18,5413,380,29,43,15,50,4,0,549,74,10,14,0,82,0,,6738
gs04,gs09,Inner South,Northwest Indiana,261,39,0,3959,252,53,10,0,0,0,0,30,10,0,0,0,30,0,,4380
gs04,gs10,Inner South,Middle North,152,22,0,1377,149,38,15,0,0,0,20,133,80,59,0,0,34,0,,1929
gs04,gs11,Inner South,Middle Northwest,233,106,0,2541,170,94,0,20,15,0,0,46,19,0,0,0,18,0,,3025
gs04,gs12,Inner South,Middle/Outer South,465,55,50,5897,675,108,10,0,29,0,10,309,25,20,0,0,80,0,,7268
gs04,gs13,Inner South,Middle Southwest,608,182,0,8269,948,208,0,29,0,0,20,599,0,0,0,0,133,0,,10408
gs04,gs14,Inner South,Middle West,136,20,0,1417,105,29,0,19,15,0,0,90,20,18,0,0,8,0,,1746
gs04,gs15,Inner South,Middle Upper West,212,52,0,1965,207,44,39,0,0,0,0,89,19,60,0,0,19,0,,2494
gs04,gs16,Inner South,Middle Lower West,249,14,15,2779,259,65,0,64,0,0,0,100,0,44,0,0,14,0,,3346
gs04,gs17,Inner South,Outer North,29,4,0,336,0,0,0,0,0,0,4,50,10,15,0,0,0,0,,419
gs04,gs18,Inner South,Outer Northwest,69,30,0,721,47,0,0,0,0,0,0,30,49,0,0,0,4,0,,881
gs04,gs19,Inner South,Outer Southwest,187,10,0,2239,238,125,0,18,0,0,0,4,19,39,0,0,0,0,,2692
gs04,gs20,Inner South,Outer West,6,0,0,34,10,0,0,0,0,0,0,4,0,0,0,0,0,0,,48
gs04,gs21,Inner South,Outer Upper West,33,0,0,169,4,19,0,0,0,0,0,66,28,20,0,0,0,0,,306
gs04,gs22,Inner South,Outer Lower West,17,0,0,140,0,25,0,0,0,0,4,10,0,0,0,0,0,0,,179
gs04,gs23,Inner South,External Illinois,31,20,0,321,20,0,0,0,0,0,0,30,0,0,0,0,0,0,,391
gs04,gs24,Inner South,External Indiana,35,0,0,401,45,0,0,15,0,0,0,0,0,0,0,0,0,0,,461
gs04,gs25,Inner South,External Wisconsin,5,10,0,24,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,44
gs05,gs01,Inner Southwest,Central,1788,278,183,18758,3275,656,259,152,25,4,4,4690,8687,2547,190,10,93,0,,40007
gs05,gs02,Inner Southwest,Inner North,424,68,4,3755,480,94,25,14,0,0,0,511,473,66,0,0,10,0,,5506
gs05,gs03,Inner Southwest,Inner Northwest,390,78,10,4181,495,87,34,43,10,0,0,335,374,24,0,0,35,0,,5722
gs05,gs04,Inner Southwest,Inner South,966,118,75,11644,1335,256,105,25,4,30,0,1433,209,4,0,0,24,0,,15257
gs05,gs05,Inner Southwest,Inner Southwest,2196,4324,466,33309,4349,882,266,158,30,40,0,3206,235,35,0,0,175,3824,,51410
gs05,gs06,Inner Southwest,Inner West,426,55,0,4648,615,109,83,29,10,14,0,257,95,4,0,0,34,0,,5959
gs05,gs07,Inner Southwest,Inner Upper West,205,18,20,2406,417,74,24,54,20,0,0,223,79,0,0,0,0,0,,3331
gs05,gs08,Inner Southwest,Inner Lower West,673,93,34,8994,1105,245,60,39,0,0,0,753,15,0,0,0,30,0,,11345
gs05,gs09,Inner Southwest,Northwest Indiana,57,0,0,532,47,53,10,10,10,0,0,0,0,0,0,0,0,0,,662
gs05,gs10,Inner Southwest,Middle North,92,24,0,797,222,10,24,25,0,0,0,40,34,4,0,0,24,0,,1205
gs05,gs11,Inner Southwest,Middle Northwest,211,84,20,2253,144,38,28,24,0,0,0,15,10,10,0,0,33,0,,2665
gs05,gs12,Inner Southwest,Middle/Outer South,137,10,0,1587,68,54,35,0,0,0,0,0,0,0,0,0,0,0,,1754
gs05,gs13,Inner Southwest,Middle Southwest,629,44,29,9533,1101,108,99,105,15,0,35,209,15,0,0,0,24,0,,11342
gs05,gs14,Inner Southwest,Middle West,199,25,0,2350,342,144,29,15,0,0,0,0,25,0,0,0,0,0,,2932
gs05,gs15,Inner Southwest,Middle Upper West,227,20,10,2540,355,94,78,4,0,0,0,0,8,0,0,0,4,0,,3121
gs05,gs16,Inner Southwest,Middle Lower West,383,44,0,4537,596,208,74,60,4,0,0,8,4,15,0,0,10,0,,5569
gs05,gs17,Inner Southwest,Outer North,24,0,0,243,15,0,0,0,0,0,0,0,0,10,0,0,0,0,,268
gs05,gs18,Inner Southwest,Outer Northwest,59,0,20,609,54,25,0,0,0,0,0,10,10,10,0,0,0,0,,739
gs05,gs19,Inner Southwest,Outer Southwest,153,14,0,1728,231,10,20,15,0,0,0,0,0,4,0,0,10,0,,2039
gs05,gs20,Inner Southwest,Outer West,11,0,0,97,65,0,0,0,0,0,0,0,10,0,0,0,0,0,,172
gs05,gs21,Inner Southwest,Outer Upper West,15,0,0,89,74,20,0,0,0,0,0,8,0,0,0,0,0,0,,191
gs05,gs22,Inner Southwest,Outer Lower West,22,0,0,148,20,45,15,0,0,0,0,0,10,0,0,0,8,0,,246
gs05,gs23,Inner Southwest,External Illinois,14,0,0,139,14,0,0,25,10,0,0,0,0,0,0,0,10,0,,198
gs05,gs24,Inner Southwest,External Indiana,10,0,0,67,0,55,0,15,0,0,0,0,0,0,0,0,0,0,,137
gs05,gs25,Inner Southwest,External Wisconsin,3,19,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,29
gs06,gs01,Inner West,Central,1135,149,180,9455,1461,290,29,10,10,14,15,4366,6793,1959,39,15,193,0,,25029
gs06,gs02,Inner West,Inner North,366,88,44,3006,366,74,40,25,0,10,0,521,285,92,10,0,64,0,,4634
gs06,gs03,Inner West,Inner Northwest,430,29,8,5127,428,79,14,4,0,0,0,729,193,34,15,0,150,0,,6809
gs06,gs04,Inner West,Inner South,211,51,10,1994,88,4,10,0,0,0,0,283,252,30,0,0,10,0,,2734
gs06,gs05,Inner West,Inner Southwest,196,12,15,2213,134,14,30,0,15,0,0,307,34,25,0,0,15,0,,2821
gs06,gs06,Inner West,Inner West,1192,2651,364,18414,2027,201,69,25,10,23,160,1974,208,8,0,0,360,6360,,32860
gs06,gs07,Inner West,Inner Upper West,273,79,49,3436,621,89,4,0,4,0,10,501,44,10,0,0,23,0,,4880
gs06,gs08,Inner West,Inner Lower West,426,163,109,4675,356,40,19,0,0,10,10,856,24,10,15,0,25,0,,6321
gs06,gs09,Inner West,Northwest Indiana,17,0,0,181,4,25,0,0,0,0,0,0,0,0,0,0,0,0,,210
