cat,subgroup,value,xaxis,hours
escort,Model-Arrive,41770,29,6:30 PM
maintenance,Model-Arrive,63145,29,6:30 PM
school,Model-Arrive,22565,29,6:30 PM
university,Model-Arrive,7275,29,6:30 PM
work,Model-Arrive,164990,29,6:30 PM
work-based,Model-Arrive,270,29,6:30 PM
discretionary,Model-Arrive,80010,30,7:00 PM
escort,Model-Arrive,33650,30,7:00 PM
maintenance,Model-Arrive,62355,30,7:00 PM
school,Model-Arrive,14830,30,7:00 PM
university,Model-Arrive,6445,30,7:00 PM
work,Model-Arrive,15550,30,7:00 PM
work-based,Model-Arrive,85,30,7:00 PM
discretionary,Model-Arrive,61575,31,7:30 PM
escort,Model-Arrive,28685,31,7:30 PM
maintenance,Model-Arrive,58230,31,7:30 PM
school,Model-Arrive,16880,31,7:30 PM
university,Model-Arrive,6590,31,7:30 PM
work,Model-Arrive,8630,31,7:30 PM
work-based,Model-Arrive,60,31,7:30 PM
discretionary,Model-Arrive,74935,32,8:00 PM
escort,Model-Arrive,23885,32,8:00 PM
maintenance,Model-Arrive,53890,32,8:00 PM
school,Model-Arrive,10795,32,8:00 PM
university,Model-Arrive,6080,32,8:00 PM
work,Model-Arrive,6460,32,8:00 PM
work-based,Model-Arrive,40,32,8:00 PM
discretionary,Model-Arrive,91090,33,8:30 PM
escort,Model-Arrive,21055,33,8:30 PM
maintenance,Model-Arrive,45415,33,8:30 PM
school,Model-Arrive,6565,33,8:30 PM
university,Model-Arrive,6005,33,8:30 PM
work,Model-Arrive,4690,33,8:30 PM
work-based,Model-Arrive,50,33,8:30 PM
discretionary,Model-Arrive,103535,34,9:00 PM
escort,Model-Arrive,17570,34,9:00 PM
maintenance,Model-Arrive,40050,34,9:00 PM
school,Model-Arrive,3715,34,9:00 PM
university,Model-Arrive,5450,34,9:00 PM
work,Model-Arrive,3880,34,9:00 PM
work-based,Model-Arrive,30,34,9:00 PM
discretionary,Model-Arrive,73830,35,9:30 PM
escort,Model-Arrive,14985,35,9:30 PM
maintenance,Model-Arrive,33565,35,9:30 PM
school,Model-Arrive,3765,35,9:30 PM
university,Model-Arrive,5580,35,9:30 PM
work,Model-Arrive,2640,35,9:30 PM
work-based,Model-Arrive,50,35,9:30 PM
discretionary,Model-Arrive,55955,36,10:00 PM
escort,Model-Arrive,13330,36,10:00 PM
maintenance,Model-Arrive,27100,36,10:00 PM
school,Model-Arrive,3790,36,10:00 PM
university,Model-Arrive,5315,36,10:00 PM
work,Model-Arrive,2345,36,10:00 PM
work-based,Model-Arrive,25,36,10:00 PM
discretionary,Model-Arrive,44810,37,10:30 PM
escort,Model-Arrive,11375,37,10:30 PM
maintenance,Model-Arrive,23115,37,10:30 PM
school,Model-Arrive,3655,37,10:30 PM
university,Model-Arrive,5210,37,10:30 PM
work,Model-Arrive,2385,37,10:30 PM
work-based,Model-Arrive,50,37,10:30 PM
discretionary,Model-Arrive,36750,38,11:00 PM
escort,Model-Arrive,9810,38,11:00 PM
maintenance,Model-Arrive,19455,38,11:00 PM
school,Model-Arrive,3520,38,11:00 PM
university,Model-Arrive,5080,38,11:00 PM
work,Model-Arrive,2150,38,11:00 PM
work-based,Model-Arrive,30,38,11:00 PM
discretionary,Model-Arrive,31610,39,11:30 PM
escort,Model-Arrive,9070,39,11:30 PM
maintenance,Model-Arrive,16185,39,11:30 PM
school,Model-Arrive,3570,39,11:30 PM
university,Model-Arrive,5240,39,11:30 PM
work,Model-Arrive,2505,39,11:30 PM
work-based,Model-Arrive,30,39,11:30 PM
discretionary,Model-Arrive,32425,40,12:00 PM
escort,Model-Arrive,9355,40,12:00 PM
maintenance,Model-Arrive,14655,40,12:00 PM
school,Model-Arrive,3460,40,12:00 PM
university,Model-Arrive,5755,40,12:00 PM
work,Model-Arrive,4745,40,12:00 PM
work-based,Model-Arrive,295,40,12:00 PM
all,Model-Arrive,3115,1,3:00 AM
all,Model-Arrive,9715,2,5:00 AM
all,Model-Arrive,22260,3,5:30 AM
all,Model-Arrive,41705,4,6:00 AM
