root,node,count,Category,color,
Chicago (CBD),Will,4750,Model,#c26ac21,Chicago (CBD)WillModel
Chicago (CBD),Will,12850.90457,Survey,#c26ac21,Chicago (CBD)WillSurvey
DuPage,All,676315,Model,,
DuPage,All,591620.3199,Survey,,
DuPage,Chicago (CBD),16680,Model,#9aaf3e,DuPageChicago (CBD)Model
DuPage,Chicago (CBD),39057.01481,Survey,#9aaf3e,DuPageChicago (CBD)Survey
DuPage,DuPage,463960,Model,#9aaf3e,DuPageDuPageModel
DuPage,DuPage,310646.1774,Survey,#9aaf3e,DuPageDuPageSurvey
DuPage,Kane,34910,Model,#9aaf3e,DuPageKaneModel
DuPage,Kane,41302.61943,Survey,#9aaf3e,DuPageKaneSurvey
DuPage,Kendall,7925,Model,#9aaf3e,DuPageKendallModel
DuPage,Kendall,6638.309258,Survey,#9aaf3e,DuPageKendallSurvey
DuPage,Lake,1900,Model,#9aaf3e,DuPageLakeModel
DuPage,Lake,11234.357,Survey,#9aaf3e,DuPageLakeSurvey
DuPage,McHenry,1360,Model,#9aaf3e,DuPageMcHenryModel
DuPage,McHenry,2077.427926,Survey,#9aaf3e,DuPageMcHenrySurvey
DuPage,Chicago (North),11375,Model,#9aaf3e,DuPageChicago (North)Model
DuPage,Chicago (North),14688.05973,Survey,#9aaf3e,DuPageChicago (North)Survey
DuPage,Cook (North),24625,Model,#9aaf3e,DuPageCook (North)Model
DuPage,Cook (North),40647.22813,Survey,#9aaf3e,DuPageCook (North)Survey
DuPage,Chicago (South),1615,Model,#9aaf3e,DuPageChicago (South)Model
DuPage,Chicago (South),5081.288454,Survey,#9aaf3e,DuPageChicago (South)Survey
DuPage,Cook (South),6305,Model,#9aaf3e,DuPageCook (South)Model
DuPage,Cook (South),10091.84251,Survey,#9aaf3e,DuPageCook (South)Survey
DuPage,Chicago (West),5460,Model,#9aaf3e,DuPageChicago (West)Model
DuPage,Chicago (West),14552.17875,Survey,#9aaf3e,DuPageChicago (West)Survey
DuPage,Cook (West),61050,Model,#9aaf3e,DuPageCook (West)Model
DuPage,Cook (West),56197.11252,Survey,#9aaf3e,DuPageCook (West)Survey
DuPage,Will,39150,Model,#9aaf3e,DuPageWillModel
DuPage,Will,39406.704,Survey,#9aaf3e,DuPageWillSurvey
Kane,All,260830,Model,,
Kane,All,240681.1313,Survey,,
Kane,Chicago (CBD),2400,Model,#573702,KaneChicago (CBD)Model
Kane,Chicago (CBD),5730.294701,Survey,#573702,KaneChicago (CBD)Survey
Kane,DuPage,39855,Model,#573702,KaneDuPageModel
Kane,DuPage,49791.88887,Survey,#573702,KaneDuPageSurvey
Kane,Kane,168885,Model,#573702,KaneKaneModel
Kane,Kane,129257.8687,Survey,#573702,KaneKaneSurvey
Kane,Kendall,7545,Model,#573702,KaneKendallModel
Kane,Kendall,2690.404513,Survey,#573702,KaneKendallSurvey
Kane,Lake,2155,Model,#573702,KaneLakeModel
Kane,Lake,5457.404767,Survey,#573702,KaneLakeSurvey
Kane,McHenry,9600,Model,#573702,KaneMcHenryModel
Kane,McHenry,10995.29565,Survey,#573702,KaneMcHenrySurvey
Kane,Chicago (North),1515,Model,#573702,KaneChicago (North)Model
Kane,Chicago (North),3494.137415,Survey,#573702,KaneChicago (North)Survey
Kane,Cook (North),12300,Model,#573702,KaneCook (North)Model
Kane,Cook (North),14756.90703,Survey,#573702,KaneCook (North)Survey
Kane,Chicago (South),45,Model,#573702,KaneChicago (South)Model
Kane,Chicago (South),0,Survey,#573702,KaneChicago (South)Survey
Kane,Cook (South),50,Model,#573702,KaneCook (South)Model
Kane,Cook (South),2151.841395,Survey,#573702,KaneCook (South)Survey
Kane,Chicago (West),465,Model,#573702,KaneChicago (West)Model
Kane,Chicago (West),791.3689478,Survey,#573702,KaneChicago (West)Survey
Kane,Cook (West),12215,Model,#573702,KaneCook (West)Model
Kane,Cook (West),8855.681527,Survey,#573702,KaneCook (West)Survey
Kane,Will,3800,Model,#573702,KaneWillModel
Kane,Will,6708.037787,Survey,#573702,KaneWillSurvey
Kendall,All,43620,Model,,
Kendall,All,17403.53224,Survey,,
Kendall,Chicago (CBD),440,Model,#c99048,KendallChicago (CBD)Model
Kendall,Chicago (CBD),1163.790899,Survey,#c99048,KendallChicago (CBD)Survey
Kendall,DuPage,9895,Model,#c99048,KendallDuPageModel
Kendall,DuPage,6698.939047,Survey,#c99048,KendallDuPageSurvey
Kendall,Kane,8305,Model,#c99048,KendallKaneModel
Kendall,Kane,1317.354917,Survey,#c99048,KendallKaneSurvey
Kendall,Kendall,19525,Model,#c99048,KendallKendallModel
Kendall,Kendall,4170.722014,Survey,#c99048,KendallKendallSurvey
Kendall,Lake,15,Model,#c99049,KendallLakeModel
Kendall,McHenry,5,Model,#c99048,KendallMcHenryModel
Kendall,McHenry,0,Survey,#c99048,KendallMcHenrySurvey
Kendall,Chicago (North),80,Model,#c99048,KendallChicago (North)Model
Kendall,Chicago (North),173.094136,Survey,#c99048,KendallChicago (North)Survey
Kendall,Cook (North),105,Model,#c99048,KendallCook (North)Model
Kendall,Cook (North),248.950875,Survey,#c99048,KendallCook (North)Survey
